buyer_id,sector_id,buyer_name,sector_name,is_externally_funded,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
47,3,Directorate of Horticulture Assam,buildings,False,,,,,,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,35.526315789473685,,,,
47,6,Directorate of Horticulture Assam,water_sanitation,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
47,7,Directorate of Horticulture Assam,electricity_power,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
47,8,Directorate of Horticulture Assam,it_computing,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,,,,,,,,,,,
47,9,Directorate of Horticulture Assam,vehicles,False,,,,,,1.0,2.0,1.0,,0.0,3.0,,,,,,,,,,,,,,,,,
47,10,Directorate of Horticulture Assam,other,False,,,,,0.0,0.0,12.0,3.0,,0.0,15.0,0.0,0.0,0.0,0.0,1.0,,,,,,17.105263157894736,,27.142857142857142,,,,
48,8,Directorate of Land Records and Survey etc. Assam,it_computing,False,,,,,,0.0,1.0,0.0,,0.0,1.0,,,,,,,4163423.5,1.0,4163423.5,,,,,,,,
48,10,Directorate of Land Records and Survey etc. Assam,other,False,,,,,0.0,0.0,8.0,3.0,,1.0,11.0,,,,,,,135265577.6,3.0,135265577.6,,17.105263157894736,,,,,,
49,3,Directorate of Sports and Youth Welfare - Assam,buildings,False,,-0.15743832259396032,-0.11386026734615107,2.0,,1.0,3.0,0.0,,0.0,3.0,0.0,0.0,0.0,0.0,2.0,,6013877.17,2.0,6013877.17,,,,35.526315789473685,,,,
49,4,Directorate of Sports and Youth Welfare - Assam,schools,False,,-0.030666666666666665,-0.030666666666666665,1.0,,1.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,15857324.0,1.0,15857324.0,,,,42.42424242424242,,,,
