buyer_id,sector_id,buyer_name,sector_name,price_dev_median,price_dev_p25,price_dev_p75,price_dev_n,single_bidder_rate,single_bidder_n,total_with_bids,no_bid_data_count,non_open_share,non_open_count,total_tenders,bunching_25L,bunching_1Cr,bunching_10Cr,bunching_composite,bunching_n,stickiness_top3,total_award_value,n_suppliers,top3_value,pctile_price_dev,pctile_single_bidder,pctile_non_open,pctile_bunching,pctile_stickiness,composite_equal,composite_pricedev2x,composite_singlebid2x
40,10,Department of Tourism,other,0.3119357142857143,0.1251185866505449,0.43596785714285713,6.0,0.04,1.0,25.0,36.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,43.0,0.9988250948306978,671633780.0,8.0,670844674.0,95.0,43.90243902439025,39.81481481481482,27.77777777777778,58.139534883720934,52.926913300140754,59.93909441678396,51.422834254182334
41,1,Department of Water Resources,roads,-0.0999999959677408,-0.10004998575475037,-0.09999999457437021,13.0,0.041666666666666664,1.0,24.0,7.0,0.0,0.0,31.0,0.0,0.06451612903225806,0.0,0.02150537634408602,31.0,0.465051535927905,906538963.19,13.0,421587337.21000004,56.25,53.333333333333336,46.875,80.0,20.833333333333336,51.458333333333336,52.256944444444436,51.770833333333336
41,2,Department of Water Resources,bridges,,-0.09999994166641389,-0.09999982499924166,2.0,0.2,1.0,5.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,1.0,20200642.0,2.0,20200642.0,,91.66666666666666,53.84615384615385,45.45454545454545,66.66666666666666,64.40850815850814,,
41,3,Department of Water Resources,buildings,-0.10002493905227934,-0.10004994306356423,-0.07649788250756823,4.0,0.0,0.0,8.0,5.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,13.0,0.8967172726942704,52402496.15,4.0,46990223.43,25.0,26.0,46.73913043478261,36.25,53.57142857142857,37.512111801242234,35.426759834368525,35.5934265010352
41,4,Department of Water Resources,schools,,-0.09999999514296996,-0.09999999514296996,1.0,,0.0,1.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,1.0,74119369.0,1.0,74119369.0,,,45.714285714285715,42.42424242424242,73.21428571428571,53.78427128427128,,
41,5,Department of Water Resources,health,,-0.08504423453363126,-0.05503271135351927,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,401832619.05,2.0,401832619.05,,,46.15384615384615,38.88888888888889,90.0,58.34757834757835,,
41,6,Department of Water Resources,water_sanitation,-0.09999999673621454,-0.10004995974218446,-0.09999996998796407,336.0,0.09966216216216216,59.0,592.0,172.0,0.006527415143603133,5.0,766.0,0.0,0.042440318302387266,0.006631299734748011,0.016357206012378427,754.0,0.15646550902793663,18337847817.04,172.0,2869240693.17,61.53846153846154,66.66666666666666,88.23529411764706,79.3103448275862,8.695652173913043,60.8892838648549,60.99748014378933,61.8521809984902
41,9,Department of Water Resources,vehicles,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,,,,,,,48.275862068965516,44.73684210526316,,46.50635208711434,,
42,6,Department of Water Resources-Externally Aided Project,water_sanitation,,,,,,0.0,3.0,0.0,0.0,0.0,3.0,,,,,,,,,,,,44.11764705882353,,,44.11764705882353,,
43,3,Dibrugarh University,buildings,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,1.0,12930800.0,1.0,12930800.0,,,46.73913043478261,,83.92857142857143,65.33385093167702,,
43,4,Dibrugarh University,schools,,-0.06873396768807263,-0.00620190306421806,2.0,0.0,0.0,11.0,10.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,7.0,0.8042144375394408,43983112.4,6.0,35371854.0,,32.35294117647059,45.714285714285715,42.42424242424242,28.57142857142857,37.26572447160682,,
44,3,Director- Fire and Emergency Services-Assam,buildings,-0.09506220367251408,-0.12000290350113155,-0.013894276769457856,14.0,0.0,0.0,17.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,15.0,0.5203804439909896,266250837.44,10.0,138551729.0,45.0,26.0,46.73913043478261,36.25,17.857142857142858,34.369254658385096,36.14104554865424,32.97437888198757
44,9,Director- Fire and Emergency Services-Assam,vehicles,,-0.15999025609749593,-0.15999025609749593,1.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2834544.0,1.0,2834544.0,,,48.275862068965516,44.73684210526316,65.38461538461539,52.79910651961469,,
44,10,Director- Fire and Emergency Services-Assam,other,,-0.12360728108843169,-0.0908165011035513,2.0,0.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,1.0,74049170.0,2.0,74049170.0,,15.853658536585366,39.81481481481482,27.77777777777778,80.23255813953489,40.91970231717821,,
45,1,Directorate of Agriculture and Assam Seed Corporation,roads,,,,,,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,,,,,,,46.875,35.0,,40.9375,,
45,3,Directorate of Agriculture and Assam Seed Corporation,buildings,-0.2119,-0.2552933774999999,-0.15212820955607376,64.0,0.042682926829268296,7.0,164.0,45.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,209.0,0.34271490960466194,271971277.84000003,36.0,93208611.9,15.0,64.0,46.73913043478261,36.25,10.714285714285714,34.540683229813666,31.283902691511386,39.45056935817805
