ocid,sector_name,classification_method
ocds-f5kvwu-2020_GMC_19667_9,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_1,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_10,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_11,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_12,other,default_other
ocds-f5kvwu-2020_GMC_19668_2,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_3,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_4,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_5,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_6,other,default_other
ocds-f5kvwu-2020_GMC_19668_7,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_8,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19668_9,water_sanitation,keyword
ocds-f5kvwu-2020_GMC_19682_1,other,default_other
ocds-f5kvwu-2020_GMC_19709_1,roads,keyword
ocds-f5kvwu-2020_GMC_19709_10,roads,keyword
ocds-f5kvwu-2020_GMC_19709_11,roads,keyword
ocds-f5kvwu-2020_GMC_19709_12,roads,keyword
ocds-f5kvwu-2020_GMC_19709_13,other,default_other
ocds-f5kvwu-2020_GMC_19709_14,roads,keyword
ocds-f5kvwu-2020_GMC_19709_15,other,default_other
ocds-f5kvwu-2020_GMC_19709_16,roads,keyword
ocds-f5kvwu-2020_GMC_19709_17,roads,keyword
ocds-f5kvwu-2020_GMC_19709_18,roads,keyword
ocds-f5kvwu-2020_GMC_19709_19,roads,keyword
ocds-f5kvwu-2020_GMC_19709_2,other,default_other
ocds-f5kvwu-2020_GMC_19709_20,other,default_other
ocds-f5kvwu-2020_GMC_19709_21,roads,keyword
ocds-f5kvwu-2020_GMC_19709_22,roads,keyword
ocds-f5kvwu-2020_GMC_19709_23,roads,keyword
ocds-f5kvwu-2020_GMC_19709_24,other,default_other
ocds-f5kvwu-2020_GMC_19709_25,other,default_other
ocds-f5kvwu-2020_GMC_19709_26,roads,keyword
ocds-f5kvwu-2020_GMC_19709_27,roads,keyword
ocds-f5kvwu-2020_GMC_19709_28,roads,keyword
ocds-f5kvwu-2020_GMC_19709_29,roads,keyword
ocds-f5kvwu-2020_GMC_19709_3,roads,keyword
ocds-f5kvwu-2020_GMC_19709_30,roads,keyword
ocds-f5kvwu-2020_GMC_19709_31,other,default_other
ocds-f5kvwu-2020_GMC_19709_32,other,default_other
ocds-f5kvwu-2020_GMC_19709_33,other,default_other
ocds-f5kvwu-2020_GMC_19709_34,roads,keyword
ocds-f5kvwu-2020_GMC_19709_35,buildings,keyword
ocds-f5kvwu-2020_GMC_19709_36,roads,keyword
ocds-f5kvwu-2020_GMC_19709_37,bridges,keyword
ocds-f5kvwu-2020_GMC_19709_38,buildings,keyword
ocds-f5kvwu-2020_GMC_19709_39,other,default_other
ocds-f5kvwu-2020_GMC_19709_4,other,default_other
ocds-f5kvwu-2020_GMC_19709_40,roads,keyword
ocds-f5kvwu-2020_GMC_19709_41,other,default_other
ocds-f5kvwu-2020_GMC_19709_42,roads,keyword
