ocid,tender_title,tender_value_amount,value_amount,tender_procurementMethod,tender_fiscalYear,price_deviation
ocds-f5kvwu-2020_PWD_19377_4,Cons. of Dooria Ali to Borfollong T.E. Labour Line and Melamora Beel Connecting under Golaghat and Khumtai Territorial Road Division under SOPD(G)for the year 2020-21(L-1.95Km) in Khumtai LAC. Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/04,5977999.0,5977281.6,Open Tender,2020-2021,-0.00012000671127585878
ocds-f5kvwu-2020_PWD_19377_5,Construction of (i) Gohain Gaon Ali (ii) Construction of Allengmuria Namghar Road under SOPD(G) for the year 2020-21 under Golaghat and Khumtai Territorial Road Division. Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/05,14662879.0,14662787.1,Open Tender,2020-2021,-6.26752767995784e-06
ocds-f5kvwu-2020_PWD_19377_6,Cons. of Road from Gohain Ali to Senchowa Ali via Gohain Chuk under Golaghat and Khumtai Territorial Road Division under SOPD(G) for the year 2020-21 (L-1.225) in Khumtai LAC. Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/06,17635977.0,17635960.88,Open Tender,2020-2021,-9.140406568370486e-07
ocds-f5kvwu-2020_PWD_19377_7,Construction of Henduriting Bagan and 20 No. Line LP School Connecting Road under Golaghat and Khumtai Territorial Road Division under SOPD(G) for the year 2020-21 (L-1.225) in Khumtai LAC. Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/07,7408364.0,7407834.26,Open Tender,2020-2021,-7.150566575835414e-05
ocds-f5kvwu-2020_PWD_19377_8,Construction of Lakhyeswar Tanti Road under SOPD(G)for the year 2020-21 (L-1.095) in Khumtai LAC. Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/08,7428651.0,7427982.4,Open Tender,2020-2021,-9.000288208446291e-05
ocds-f5kvwu-2020_PWD_19377_9,Cons. of Road from Mohbandha Ali to Buragaon under Golaghat and Khumtai Territorial Road Division under SOPD(G)for the year2020-21(from ch.610.00m to1340.00m) in Khumtai LAC. Pkg. No. SOPD(G)/2020-21/GKTRD/KHM/09,7252019.0,7251350.0,Open Tender,2020-2021,-9.225017198658745e-05
ocds-f5kvwu-2020_PWD_19378_1,"Cons. and Imp. of Footpath(K.B.Road-From Doss and Co.to Gitarthi Point)Providing Shaded Tiles and Railing under City Infra Development Fund(CIDF)for Jorhat Town for the year2019-20under PWD Jorhat State Road Division,Jorhat.Pkg.No. CIDF/JDTTRD/JOR/01",10694923.0,10160176.85,Open Tender,2020-2021,-0.05000000000000004
ocds-f5kvwu-2020_PWD_19391_1,SOPD-G/BR/2020-21/Lakhimpur/01 Construction of RCC Bridge No. 5/1 over river Ranganadi at Phatasutighat on Panigaon Kharkati Ahomoni Mirigaon Road under SOPD-G for the year 2020-21 under Lakhimpur LAC,262085839.0,235877255.0,Open Tender,2020-2021,-0.10000000038155438
ocds-f5kvwu-2020_PWD_19397_6,"SOPD_SIG_20_21_15 Construction of Dafalating to Dhubuni Road (L-5.00km) including construction of RCC Br. No. 1/1 under Signature Project for the year 2020-21, in Titabor LAC under Jorhat, Dergaon and Titabor Territorial Road Division.",100000000.0,99997457.0,Open Tender,2020-2021,-2.543e-05
ocds-f5kvwu-2020_PWD_19400_1,"Thowra/SOPD-G/2020--21/28 Improvement of Road from 525th Km of NH-37 to Swargadew-Siu-Ka-Pha Multispeciality Hospital in Sivasagar and Thowra Territorial Road Division,under SOPD-G for the year 2020-21",33311000.0,33308063.0,Open Tender,2020-2021,-8.8169073279097e-05
